original_index,text_length,word_count,sentence_count,avg_word_length,lexical_diversity,has_questions,has_exclamations,keyword_overlap,response_relevance,grammar_quality,has_punctuation,sentence_completeness,has_greeting,has_description,has_connectors,has_emotional_words,style_score,answer_length_sufficiency,content_richness,engagement_level,question_type,composite_quality_score
28,738,116,29,5.051724137931035,0.6637931034482759,1,0,0.68,1.0,0.5758620689655173,1.0,0.6896551724137931,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8826086956521739,0.9295652173913043,1.0,0.7465042478760621
29,918,137,25,5.430656934306569,0.6642335766423357,1,0,0.8823529411764706,1.0,0.8680000000000001,1.0,0.92,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.9094202898550725,0.9456521739130435,2.0,0.8935981244671782
30,767,112,28,5.464285714285714,0.6964285714285714,1,0,0.8695652173913043,1.0,0.5285714285714286,1.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.9086956521739131,0.9452173913043478,3.0,0.7717619047619049
31,4796,766,112,4.941253263707572,0.52088772845953,1,0,0.8222222222222222,1.0,0.8178571428571428,1.0,0.7946428571428571,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8214756258234519,0.8928853754940711,4.0,0.8404081184515966
32,591,86,20,5.465116279069767,0.6744186046511628,1,0,0.6363636363636364,1.0,0.48,1.0,0.45,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8928571428571428,0.9357142857142857,1.0,0.7018917748917748
33,1626,253,53,4.948616600790514,0.5375494071146245,1,0,0.8604651162790697,1.0,0.5566037735849056,1.0,0.6415094339622641,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.8514056224899598,0.9108433734939758,2.0,0.7674052154206998
34,1426,217,41,5.271889400921659,0.576036866359447,1,0,0.9024390243902439,1.0,0.7731707317073171,1.0,0.6829268292682927,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8433179723502304,0.9059907834101382,3.0,0.8104857442583642
35,2398,399,66,4.706766917293233,0.5764411027568922,1,0,0.7692307692307693,1.0,0.7484848484848485,1.0,0.6212121212121212,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8530927835051547,0.9118556701030929,4.0,0.8096490279479971
36,771,112,31,5.553571428571429,0.6428571428571429,1,0,0.7619047619047619,1.0,0.5064516129032258,1.0,0.5161290322580645,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.8603603603603603,0.9162162162162162,1.0,0.7297814173620626
37,1162,183,31,5.060109289617486,0.6721311475409836,1,0,0.7368421052631579,1.0,0.8225806451612903,1.0,0.8064516129032258,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.898876404494382,0.9393258426966291,2.0,0.8104643495291327
